"iso3c","country","year","unemp_nat","unemp_ilo","unemp_i","regime","regime_i","fem_labour","fem_labour_i","gini_disp","gini_disp_i","gdp_madki","gdp_madki_i","gdp_cap_i","fertility","fertility_i","alc_all_types","alc_all_types_i","christpct_i","christpct_ii","islampct_i","islampct_ii","buddhapct_i","buddhapct_ii","jewishpct_i","jewishpct_ii","hindupct_i","hindupct_ii","otherpct_i","otherpct_ii","nonreligpct_i","nonreligpct_ii","suicide_total_m","suicide_total_f","suicide_rate_female_owd","suicide_rate_male_owd","suicide_rate_total_owd","pop","pop65","crisis_idx","marit_rate_men","marit_rate_women","div_rate_female","div_rate_male","atwar","crisis_idx_i","atwar_i","crisis_idx_iI","suicide_total_owd","suicide_total_pcm","suicide_male_pcm","suicide_female_pcm","region","any_crisis"
"BLR","Belarus",2014,2.08428575311388,5.95875000953674,2.08428575311388,3,3,49.6479688489132,49.6479688489132,23.4875,23.4875,18.0631056,18.0631056,18.0631056,1.623875,1.623875,11.88625,11.88625,0.579333333333333,0.57975,0.003,0.003,0,0,0.000833333333333333,0.000625,0,0,0.0103333333333333,0.011,0.4065,0.405625,NA,NA,69.7,421.3125,22.9847237405354,9482271.5,14.1916441985143,NA,65.3944444444444,64.9157142857143,NA,NA,0,0,0,0,229.847237405354,229.847237405354,421.3125,69.7,"Europe & Central Asia",0
"BLZ","Belize",2014,7.5539999961853,7.87499994039536,7.5539999961853,NA,5.5,37.6946765264278,37.6946765264278,NA,NA,4.22665802459261,4.22665802459261,4.22665802459261,2.515,2.515,6.1825,6.1825,0.764333333333333,0.7615,0.002,0.002,0.00266666666666667,0.00275,0.01,0.01,0.002,0.002,0.0556666666666667,0.055,0.163333333333333,0.16675,18,4,19.625,132.3875,7.58341093029677,349360.5,4.31408714991328,NA,55.4272077922078,57.5716017316017,NA,NA,0,0,0,0,75.8341093029677,75.8341093029677,132.3875,19.625,"Latin America & Caribbean",0
"BMU","Bermuda",2014,7.63249969482422,NA,7.63249969482422,NA,7,NA,NA,NA,NA,4.2905028126235,13.2237710985366,13.2237710985366,1.62875,1.62875,NA,NA,0.642666666666667,0.63475,0.01,0.01,0.005,0.005,0.002,0.002,0.002,0.002,0.148833333333333,0.154125,0.1895,0.192125,1.4,1,9.125,65.65,3.52741628262368,64786.125,NA,NA,48.8482692307692,39.9802472527472,NA,NA,NA,0.125,0,NA,35.2741628262368,35.2741628262368,65.65,9.125,"North America",NA
"BOL","Bolivia",2014,2.71999999455043,2.68125000596046,2.71999999455043,6,6,42.3843925967827,42.3843925967827,43.7,43.7,5.8570160875,5.8570160875,5.8570160875,2.985125,2.985125,3.51625,3.51625,0.926833333333333,0.927125,0,0,0.001,0.001,0,0,0,0,0.0521666666666667,0.051875,0.02,0.02,NA,NA,44.1,89.825,6.63570224099268,10622813.75,6.56860385070082,0,61.7392307692308,59.3418131868132,NA,NA,0,0,0,0,66.3570224099268,66.3570224099268,89.825,44.1,"Latin America & Caribbean",0
"BRA","Brazil",2014,8.65714291163853,8.5412500500679,8.65714291163853,6,6,42.5302900875267,42.5302900875267,46.975,46.975,14.7807765625,14.7807765625,14.7807765625,1.763625,1.763625,6.77125,6.77125,0.867,0.86625,0,0,0.001,0.001,0.001,0.001,0,0,0.0523333333333333,0.05275,0.0786666666666667,0.079,8452.25,2291.625,23.4125,100.325,6.02554850688474,201847970.125,7.65696463492772,0.142857142857143,60.965,50.8621428571429,NA,NA,0,0.125,0,0,60.2554850688474,60.2554850688474,100.325,23.4125,"Latin America & Caribbean",0
"BRB","Barbados",2014,10.4824999570847,11.0149999856949,10.4824999570847,NA,7,49.3352333650931,49.3352333650931,43.4375,43.4375,11.8983023875,11.8983023875,11.8983023875,1.636125,1.636125,8.7975,8.7975,0.704666666666667,0.70475,0.006,0.006,0,0,0,0,0.004,0.004,0.117166666666667,0.116625,0.168166666666667,0.168625,3,NA,14.0125,69.6,3.98261160571364,284411.5,14.2403438248229,NA,33.2078571428571,45.3760714285714,NA,NA,0,0,0,0,39.8261160571364,39.8261160571364,69.6,14.0125,"Latin America & Caribbean",0
"BRN","Brunei",2014,8.14499974250793,7.3887500166893,8.14499974250793,NA,5.5,41.9386387570921,41.9386387570921,NA,NA,4.25048200035323,4.25048200035323,4.25048200035323,1.944625,1.944625,0.7275,0.7275,0.1175,0.117375,0.573666666666667,0.5745,0.0925,0.091375,0,0,0.00816666666666667,0.008125,0.196166666666667,0.196625,0.012,0.012,5.85714285714286,2,30.0625,89.7375,6.0122016132128,406836.625,3.87535566424675,NA,64.8857142857143,53.2114285714286,NA,NA,0,0,0,0,60.122016132128,60.122016132128,89.7375,30.0625,"East Asia & Pacific",0
"BTN","Bhutan",2014,2.75833332538605,2.66624999046326,2.75833332538605,5,5,42.0662335402698,42.0662335402698,41.0875,41.0875,4.22533642553705,4.22533642553705,4.22533642553705,2.112875,2.112875,0.1675,0.1675,0.007,0.007,0.00166666666666667,0.0015,0.841666666666667,0.842,0,0,0.113833333333333,0.113625,0.0358333333333333,0.035875,0,0,NA,NA,31.5375,83.9625,5.91666214653807,714978.875,5.56246300361967,NA,66.5635714285714,68.73,NA,NA,0,0,0,0,59.1666214653807,59.1666214653807,83.9625,31.5375,"South Asia",0
"BWA","Botswana",2014,17.8600006103516,17.7525000572205,17.8600006103516,8,8,47.9611550693395,47.9611550693395,58.2666666666667,58.225,14.3748945875,14.3748945875,14.3748945875,2.9825,2.9825,5.23125,5.23125,0.3165,0.318625,0.004,0.004,0.001,0.001,0,0,0.002,0.002,0.6765,0.674375,0,0,NA,NA,57.325,160.3625,10.4457242205301,2084874.5,3.68489992272106,NA,53.4164285714286,44.6128571428571,NA,NA,0,0.125,0,1,104.457242205301,104.457242205301,160.3625,57.325,"Sub-Saharan Africa",1
"CAF","Central African Republic",2014,NA,4.32375007867813,4.32375007867813,3,3,45.4725345757443,45.4725345757443,NA,NA,0.7043758875,0.7043758875,0.7043758875,5.024,5.024,1.3275,1.3275,0.683166666666667,0.684875,0.180333333333333,0.1825,0,0,0,0,0,0,0.127166666666667,0.123125,0.00933333333333333,0.0095,NA,NA,71.3875,282.875,17.2440440286438,4472602.625,2.91656597103982,0,75.7144444444444,76.8971428571429,NA,NA,0.25,0,0.25,NA,172.440440286438,172.440440286438,282.875,71.3875,"Sub-Saharan Africa",1
"CAN","Canada",2014,7.13625007867813,7.13625007867813,7.13625007867813,9,9,47.1819310048514,47.1819310048514,31.375,31.375,43.0510084875,43.0510084875,43.0510084875,1.5777875,1.5777875,8.1625,8.1625,0.601333333333333,0.594,0.0326666666666667,0.0335,0.011,0.011,0.0095,0.009375,0.015,0.01525,0.0903333333333333,0.09225,0.240166666666667,0.244625,3031.75,1024.875,56.4625,165.3125,10.9739991269488,35241818,15.448139527189,0,55.845582010582,51.8672751322751,NA,NA,0,0,0,0,109.739991269488,109.739991269488,165.3125,56.4625,"North America",0
"CHE","Switzerland",2014,4.72250008583069,4.72375005483627,4.72250008583069,9,9,46.239398205621,46.239398205621,29.625,29.625,59.03011765,59.03011765,59.03011765,1.5275,1.5275,9.73375,9.73375,0.7255,0.719875,0.0493333333333333,0.04975,0.00333333333333333,0.0035,0.003,0.003,0.003,0.003,0.000666666666666667,5e-04,0.215166666666667,0.220375,762.5,276.875,55.575,156.675,10.4277869241997,8139967.125,17.6688714094521,0,49.1673885109599,45.8383786848073,NA,NA,0,0,0,0,104.277869241997,104.277869241997,156.675,55.575,"Europe & Central Asia",0
"CHL","Chile",2014,6.9375,6.93875002861023,6.9375,8,8,41.0523225207804,41.0523225207804,46.175,46.175,20.8189048875,20.8189048875,20.8189048875,1.794,1.794,7.6975,7.6975,0.883,0.883,0,0,0.001,0.001,0.001,0.001,0,0,0.00983333333333333,0.009875,0.105166666666667,0.105125,1531.375,340.125,38.3625,174.9,10.4210781776895,17709473.125,10.2119846166399,0.428571428571429,58.2290909090909,50.0736363636364,NA,NA,0,0.375,0,0,104.210781776895,104.210781776895,174.9,38.3625,"Latin America & Caribbean",1
"CHN","China",2014,4.05833331743876,4.53749996423721,4.05833331743876,0,0,43.9557910980475,43.9557910980475,41.675,41.675,11.42229375,11.42229375,11.42229375,1.653,1.653,5.6825,5.6825,0.074,0.07475,0.0165,0.016625,0.157,0.15775,0,0,0,0,0.360166666666667,0.359625,0.392333333333333,0.39125,NA,NA,64.475,91.8125,7.78069998219591,1361307500,8.98898450706286,0.142857142857143,72.2097727272727,73.7145454545455,NA,NA,0,0.125,0,0,77.8069998219591,77.8069998219591,91.8125,64.475,"East Asia & Pacific",0
"CIV","Côte d’Ivoire",2014,4.33499991893768,4.71999996900558,4.33499991893768,3,3,38.6027712737379,38.6027712737379,56.1166666666667,56.2125,2.9551068125,2.9551068125,2.9551068125,4.89425,4.89425,1.35625,1.35625,0.360333333333333,0.3645,0.411166666666667,0.412625,0.001,0.001,0,0,0,0,0.2235,0.217875,0.004,0.004,NA,NA,57.675,225.35,14.4114918498915,22416288.375,2.83397555458218,0,60.917619047619,59.2121428571429,NA,NA,0.125,0,0.125,0,144.114918498915,144.114918498915,225.35,57.675,"Sub-Saharan Africa",0
"CMR","Cameroon",2014,3.82000005245208,3.69375002384186,3.82000005245208,3,3,46.9315730711747,46.9315730711747,45.32,45.32,2.652425675,2.652425675,2.652425675,4.878875,4.878875,5.3525,5.3525,0.4675,0.468125,0.1545,0.152875,0,0,0,0,0,0,0.364,0.36475,0.014,0.01425,NA,NA,82.8625,217.5375,14.7931050081914,22410375.375,2.77546062567079,NA,62.8619565217391,59.512380952381,NA,NA,0,0,0,0,147.931050081914,147.931050081914,217.5375,82.8625,"Sub-Saharan Africa",0
"COD","Congo - Kinshasa",2014,4.48999977111816,4.32874995470047,4.48999977111816,3,3,48.4587933148133,48.4587933148133,43.9,43.9,0.7614889125,0.7614889125,0.7614889125,6.306375,6.306375,0.68625,0.68625,0.949833333333333,0.949625,0.015,0.015,0,0,0,0,0.00116666666666667,0.001125,0.0296666666666667,0.02975,0.00433333333333333,0.0045,NA,NA,46.05,197.9,11.5370701259073,72737305.375,3.01212403413816,NA,71.65,65.37,NA,NA,0,0,0,0,115.370701259073,115.370701259073,197.9,46.05,"Sub-Saharan Africa",0
"COG","Congo - Brazzaville",2014,10,10.6625000238419,10,3,3,49.0513787331732,49.0513787331732,48.05,48.05,5.988398525,5.988398525,5.988398525,4.64175,4.64175,4.63625,4.63625,0.892333333333333,0.8905,0.012,0.012,0,0,0,0,0,0,0.0656666666666667,0.0675,0.03,0.03,NA,NA,80.3375,206.3875,14.0047909128487,4685788,2.56609996815931,NA,59.4001948051948,56.1239285714286,NA,NA,0,0,0,0,140.047909128487,140.047909128487,206.3875,80.3375,"Sub-Saharan Africa",0
"COL","Colombia",2014,9.2887498140335,9.2887498140335,9.2887498140335,5,5,42.9396005506507,42.9396005506507,49.55,49.55,12.5680898375,12.5680898375,12.5680898375,1.899875,1.899875,4.35625,4.35625,0.955333333333333,0.955,0,0,0,0,0,0,0,0,0.0193333333333333,0.01925,0.0253333333333333,0.02575,1832.75,423.125,19.475,94.475,5.55622665593927,46878740.5,7.3493861815643,0.428571428571429,58.0391071428571,50.0255833333333,NA,NA,1,0.5,1,1,55.5622665593927,55.5622665593927,94.475,19.475,"Latin America & Caribbean",1
"COM","Comoros",2014,8.14000034332275,7.61375004053116,8.14000034332275,5,5,37.1829951148998,37.1829951148998,54.62,54.62,1.599675225,1.599675225,1.599675225,4.521,4.521,0.18625,0.18625,0.004,0.004,0.983,0.983,0,0,0,0,0,0,0.012,0.012,0.001,0.001,NA,NA,39.2,134.6,8.37302370007056,750991.875,2.92353291730058,NA,71.7045454545455,61.53,NA,NA,0,0,0,0,83.7302370007056,83.7302370007056,134.6,39.2,"Sub-Saharan Africa",0
"CPV","Cape Verde",2014,18.0733331044515,11.5287499427795,18.0733331044515,9,9,41.9653698050234,41.9653698050234,49.45,49.45,6.2948328875,6.2948328875,6.2948328875,2.4435,2.4435,4.4525,4.4525,0.9485,0.948375,0.028,0.028,0,0,0,0,0,0,0.0145,0.014625,0.009,0.009,37,6.5,61,285.7625,17.0658243480836,515018.5,4.78533336458006,NA,NA,NA,NA,NA,0,0.125,0,0.333333333333333,170.658243480836,170.658243480836,285.7625,61,"Sub-Saharan Africa",1
"CRI","Costa Rica",2014,8.8325002193451,8.8325002193451,8.8325002193451,9,9,38.6554665086758,38.6554665086758,46.275,46.275,13.196668525,13.196668525,13.196668525,1.829375,1.829375,3.67625,3.67625,0.889333333333333,0.89075,0,0,0,0,0.001,0.001,0,0,0.0108333333333333,0.010875,0.0988333333333333,0.097375,257.25,47.75,20.625,131.2125,7.36795436851579,4766633.75,8.25317369914188,0,55.7789795918367,46.5178231292517,NA,NA,0,0,0,0,73.6795436851579,73.6795436851579,131.2125,20.625,"Latin America & Caribbean",0
"CUB","Cuba",2014,2.65375003218651,2.65375003218651,2.65375003218651,0,0,38.9617549552925,38.9617549552925,NA,NA,7.4602417625,7.4602417625,7.4602417625,1.6675,1.6675,4.24125,4.24125,0.588666666666667,0.58925,0.001,0.001,0.001,0.001,0,0,0.002,0.002,0.184,0.18525,0.223333333333333,0.2215,1197.25,309.375,48.275,175.0625,11.0018054730249,11288546.75,13.603040378333,NA,54.6010714285714,57.6664285714286,NA,NA,0,0,0,0,110.018054730249,110.018054730249,175.0625,48.275,"Latin America & Caribbean",0
"CYP","Cyprus",2014,12.0987500548363,12.0987500548363,12.0987500548363,9,9,45.710410892601,45.710410892601,30.45,30.45,25.8535488375,25.8535488375,25.8535488375,1.3745,1.3745,10.01125,10.01125,0.693333333333333,0.6925,0.240166666666667,0.240125,0.006,0.006,0.00166666666666667,0.00175,0.0035,0.003625,0.0111666666666667,0.011625,0.0441666666666667,0.044375,39.625,8,17.7375,77.375,4.70172991280267,1147436.75,12.3953931912954,NA,69.3069230769231,63.1238461538462,NA,NA,0,0,0,0,47.0172991280267,47.0172991280267,77.375,17.7375,"Europe & Central Asia",1
"CZE","Czechia",2014,5.74000006914139,5.74000006914139,5.74000006914139,9,9,43.9530523262366,43.9530523262366,25.1375,25.1375,27.4372690375,27.4372690375,27.4372690375,1.53375,1.53375,12.74375,12.74375,0.101,0.08975,0.001,0.001,0.001,0.001,0,0,0,0,0.592166666666667,0.618875,0.304833333333333,0.289375,1219.125,270.625,39.3125,200.0625,11.7247777727684,10528466.375,17.2161361191201,NA,47.2131443688587,42.8872902494331,NA,NA,0,0,0,0,117.247777727684,117.247777727684,200.0625,39.3125,"Europe & Central Asia",0
"DEU","Germany",2014,5.10874998569489,5.10874998569489,5.10874998569489,9,9,46.0749072838272,46.0749072838272,29.1375,29.1375,43.6944208,43.6944208,43.6944208,1.46875,1.46875,11.095,11.095,0.653666666666667,0.651,0.0495,0.049625,0.001,0.001,0.00166666666666667,0.00175,0.001,0.001,0.0368333333333333,0.036875,0.256333333333333,0.25875,7409,2537.125,46.3375,152.3,9.75483650635323,81349765.375,20.9953401637326,0.285714285714286,49.0850824175824,47.1420604395604,NA,NA,0,0.125,0,0,97.5483650635323,97.5483650635323,152.3,46.3375,"Europe & Central Asia",0
